,terrestrial_hci
x,0.002216845014063544
y,0.034015248845314025
aggdp2010,0.15740227076739685
ntlharm2020,0.18436245231536888
popden2010,0.13546761281316871
hmnlc2020,0.13784475023951817
roadden,0.15349939153995068
tt_cities_over_5k,0.08807800463397517
tt_ports_large,0.08489870491547506
mineden,0.02221471891576911
