x,y,freshwater_hci,popden2010,maxRDD,meanUSE,maxDOF,minCSI,maxSED
-31.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-30.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-29.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-29.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-29.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-28.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-28.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-27.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-27.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-26.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-81.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-78.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-78.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-78.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-78.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-77.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-77.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-77.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-77.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-76.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-76.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-76.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-76.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-75.875,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.625,82.875,1.0,,1.0,1.0,1.0,1.0,1.0
-75.375,82.875,1.0,,1.0,1.0,1.0,1.0,1.0
-75.125,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.875,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.625,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.375,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-73.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-73.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-73.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-73.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-72.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-72.625,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.375,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.125,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.875,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-71.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-71.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-70.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-70.625,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.375,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.125,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.875,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.625,82.875,1.0,,1.0,1.0,1.0,1.0,1.0
-69.375,82.875,1.0,,1.0,1.0,1.0,1.0,1.0
-69.125,82.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-68.875,82.875,1.0,,1.0,1.0,1.0,1.0,1.0
-68.625,82.875,1.0,,1.0,1.0,1.0,1.0,1.0
-68.375,82.875,1.0,,1.0,1.0,1.0,1.0,1.0
-68.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-67.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-67.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-67.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-67.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-66.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-66.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-66.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-65.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-65.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-65.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-64.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-64.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-64.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-64.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-48.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-46.125,82.875,,,1.0,1.0,1.0,1.0,1.0
