,freshwater_hci
freshwater_hci,0.23747918434162238
popden2010,0.10970004357121162
maxrdd,0.10212628398478951
meanuse,0.1044241373830531
maxdof,0.147347132185311
mincsi,0.1582916136345694
maxsed,0.14063160489944293
